Puerto Eldorado,Puerto Eldorado,-26.40842,-54.69463,AR,54189,,102,America/Argentina/Cordoba
Posadas,Posadas,-27.36708,-55.89608,AR,312060,,127,America/Argentina/Cordoba
Pontevedra,Pontevedra,-34.74974,-58.68696,AR,33515,,23,America/Argentina/Buenos_Aires
Pirané,Pirane,-25.73239,-59.10879,AR,19124,,86,America/Argentina/Cordoba
Paso de los Libres,Paso de los Libres,-29.71311,-57.08991,AR,43805,,70,America/Argentina/Cordoba
Oberá,Obera,-27.48706,-55.11994,AR,56528,,345,America/Argentina/Cordoba
Necochea,Necochea,-38.54726,-58.73675,AR,80478,,20,America/Argentina/Buenos_Aires
Morón,Moron,-34.65344,-58.61975,AR,319934,,29,America/Argentina/Buenos_Aires
Monte Caseros,Monte Caseros,-30.25359,-57.63626,AR,24671,,53,America/Argentina/Cordoba
Montecarlo,Montecarlo,-26.5662,-54.757,AR,22229,,205,America/Argentina/Cordoba
Mercedes,Mercedes,-34.65146,-59.43068,AR,52949,,43,America/Argentina/Buenos_Aires
Mercedes,Mercedes,-29.18186,-58.07895,AR,30649,,98,America/Argentina/Cordoba
Mar del Plata,Mar del Plata,-38.00228,-57.55754,AR,553935,,15,America/Argentina/Buenos_Aires
Luján,Lujan,-34.57028,-59.105,AR,81749,,27,America/Argentina/Buenos_Aires
La Plata,La Plata,-34.92145,-57.95453,AR,694167,,27,America/Argentina/Buenos_Aires
La Paz,La Paz,-30.74485,-59.64566,AR,24716,,56,America/Argentina/Cordoba
Jardín América,Jardin America,-27.04346,-55.22698,AR,24905,,227,America/Argentina/Cordoba
Gualeguaychú,Gualeguaychu,-33.00938,-58.51722,AR,78676,,14,America/Argentina/Cordoba
Gualeguay,Gualeguay,-33.14156,-59.30966,AR,33120,,14,America/Argentina/Cordoba
Goya,Goya,-29.14003,-59.26256,AR,70245,,44,America/Argentina/Cordoba
Gobernador Ingeniero Valentín Virasoro,Gobernador Ingeniero Valentin Virasoro,-28.05,-56.03333,AR,28756,,133,America/Argentina/Cordoba
General José de San Martín,General Jose de San Martin,-26.53743,-59.34158,AR,31758,,81,America/Argentina/Cordoba
Garupá,Garupa,-27.48171,-55.82921,AR,28814,,108,America/Argentina/Cordoba
Formosa,Formosa,-26.17753,-58.17814,AR,221383,,70,America/Argentina/Cordoba
Fontana,Fontana,-27.41813,-59.02392,AR,26745,,54,America/Argentina/Cordoba
Federal,Federal,-30.95465,-58.78326,AR,16333,,67,America/Argentina/Cordoba
Esquina,Esquina,-30.01444,-59.52719,AR,26399,,44,America/Argentina/Cordoba
El Soberbio,El Soberbio,-27.29846,-54.19877,AR,19571,,156,America/Argentina/Cordoba
Dolores,Dolores,-36.31322,-57.67918,AR,25190,,14,America/Argentina/Buenos_Aires
Curuzú Cuatiá,Curuzu Cuatia,-29.79171,-58.0546,AR,36390,,79,America/Argentina/Cordoba
Corrientes,Corrientes,-27.4806,-58.8341,AR,339067,,63,America/Argentina/Cordoba
Concordia,Concordia,-31.39296,-58.02089,AR,145210,,30,America/Argentina/Cordoba
Concepción del Uruguay,Concepcion del Uruguay,-32.48249,-58.23722,AR,67895,,16,America/Argentina/Cordoba
Colegiales,Colegiales,-34.57365,-58.44924,AR,57000,,27,America/Argentina/Buenos_Aires
Chajarí,Chajari,-30.75048,-57.97962,AR,30655,,58,America/Argentina/Cordoba
Campana,Campana,-34.16874,-58.95914,AR,81612,,17,America/Argentina/Buenos_Aires
Buenos Aires,Buenos Aires,-34.61315,-58.37723,AR,13076300,,31,America/Argentina/Buenos_Aires
Barranqueras,Barranqueras,-27.48299,-58.93579,AR,50823,,52,America/Argentina/Cordoba
Azul,Azul,-36.77698,-59.85854,AR,53941,,141,America/Argentina/Buenos_Aires
Avellaneda,Avellaneda,-29.11761,-59.65834,AR,23077,,52,America/Argentina/Cordoba
Aristóbulo del Valle,Aristobulo del Valle,-27.09625,-54.89626,AR,20683,,494,America/Argentina/Cordoba
Zapala,Zapala,-38.89916,-70.05442,AR,31534,,1015,America/Argentina/Salta
Yerba Buena,Yerba Buena,-26.81667,-65.31667,AR,50783,,515,America/Argentina/Tucuman
Villa Regina,Villa Regina,-39.1,-67.06667,AR,31209,,201,America/Argentina/Salta
Villa Paula de Sarmiento,Villa Paula de Sarmiento,-31.4933,-68.53838,AR,19092,,646,America/Argentina/San_Juan
Villa Nueva,Villa Nueva,-32.43293,-63.24763,AR,16841,,204,America/Argentina/Cordoba
Villa María,Villa Maria,-32.40751,-63.24016,AR,92453,,202,America/Argentina/Cordoba
Villa Dolores,Villa Dolores,-31.94585,-65.18958,AR,28009,,523,America/Argentina/Cordoba
Villa Constitución,Villa Constitucion,-33.22778,-60.3297,AR,44271,,32,America/Argentina/Cordoba
Villa Carlos Paz,Villa Carlos Paz,-31.42414,-64.49778,AR,69451,,666,America/Argentina/Cordoba
Villa Ángela,Villa Angela,-27.57383,-60.71526,AR,43511,,79,America/Argentina/Cordoba
Villa Allende,Villa Allende,-31.29458,-64.29538,AR,21683,,505,America/Argentina/Cordoba
Viedma,Viedma,-40.81345,-62.99668,AR,48940,,8,America/Argentina/Salta
Victoria,Victoria,-32.61841,-60.15478,AR,25139,,52,America/Argentina/Cordoba
Vera,Vera,-29.4593,-60.21261,AR,19797,,64,America/Argentina/Cordoba
Venado Tuerto,Venado Tuerto,-33.74556,-61.96884,AR,72340,,117,America/Argentina/Cordoba
Veinticinco de Mayo,Veinticinco de Mayo,-35.4323,-60.17271,AR,24668,,57,America/Argentina/Buenos_Aires
Ushuaia,Ushuaia,-54.8,-68.3,AR,58028,,52,America/Argentina/Ushuaia
Unquillo,Unquillo,-31.23073,-64.31615,AR,15369,,633,America/Argentina/Cordoba
Tres Isletas,Tres Isletas,-26.34066,-60.43207,AR,24747,,102,America/Argentina/Cordoba
Tres Arroyos,Tres Arroyos,-38.37394,-60.27978,AR,47136,,113,America/Argentina/Buenos_Aires
Trelew,Trelew,-43.24895,-65.30505,AR,93442,,14,America/Argentina/Catamarca
Termas de Río Hondo,Termas de Rio Hondo,-27.49983,-64.86042,AR,27838,,265,America/Argentina/Cordoba
Tartagal,Tartagal,-22.51636,-63.80131,AR,60819,,499,America/Argentina/Salta
Tafí Viejo,Tafi Viejo,-26.73201,-65.25921,AR,48459,,629,America/Argentina/Tucuman
Sunchales,Sunchales,-30.94404,-61.56148,AR,18757,,98,America/Argentina/Cordoba
Santo Tomé,Santo Tome,-31.66274,-60.7653,AR,59072,,19,America/Argentina/Cordoba
Santiago del Estero,Santiago del Estero,-27.79511,-64.26149,AR,354692,,188,America/Argentina/Cordoba
Santa Rosa,Santa Rosa,-36.61667,-64.28333,AR,111424,,179,America/Argentina/Salta
Santa Lucía,Santa Lucia,-31.53987,-68.49503,AR,43565,,620,America/Argentina/San_Juan
Santa Fe de la Vera Cruz,Santa Fe de la Vera Cruz,-31.63333,-60.7,AR,489505,,21,America/Argentina/Cordoba
San Salvador de Jujuy,San Salvador de Jujuy,-24.19456,-65.29712,AR,305891,,1260,America/Argentina/Jujuy
San Ramón de la Nueva Orán,San Ramon de la Nueva Oran,-23.13223,-64.32598,AR,74059,,361,America/Argentina/Salta
San Rafael,San Rafael,-34.61772,-68.33007,AR,109163,,702,America/Argentina/Mendoza
San Pedro,San Pedro,-24.23127,-64.86614,AR,58430,,587,America/Argentina/Jujuy
San Nicolás de los Arroyos,San Nicolas de los Arroyos,-33.33578,-60.22523,AR,127742,,25,America/Argentina/Buenos_Aires
San Miguel de Tucumán,San Miguel de Tucuman,-26.82414,-65.2226,AR,781023,,452,America/Argentina/Tucuman
San Martín de los Andes,San Martin de los Andes,-40.16038,-71.34865,AR,23519,,677,America/Argentina/Salta
San Martín,San Martin,-33.08103,-68.46814,AR,82549,,661,America/Argentina/Mendoza
San Luis,San Luis,-33.29501,-66.33563,AR,183982,,729,America/Argentina/San_Luis
San Justo,San Justo,-30.78913,-60.59189,AR,21809,,59,America/Argentina/Cordoba
San Juan,San Juan,-31.5375,-68.53639,AR,447048,,649,America/Argentina/San_Juan
San José de Jáchal,San Jose de Jachal,-30.24057,-68.74693,AR,21018,,1176,America/Argentina/San_Juan
San Jorge,San Jorge,-31.89618,-61.85984,AR,16873,,109,America/Argentina/Cordoba
San Francisco,San Francisco,-31.42797,-62.08266,AR,59062,,118,America/Argentina/Cordoba
San Fernando del Valle de Catamarca,San Fernando del Valle de Catamarca,-28.46957,-65.78524,AR,188812,,545,America/Argentina/Catamarca
San Antonio Oeste,San Antonio Oeste,-40.73193,-64.94769,AR,16966,,12,America/Argentina/Salta
Salta,Salta,-24.7859,-65.41166,AR,512686,,1183,America/Argentina/Salta
Rufino,Rufino,-34.26827,-62.71262,AR,18361,,118,America/Argentina/Cordoba
Rosario,Rosario,-32.94682,-60.63932,AR,1173533,,38,America/Argentina/Cordoba
Río Tercero,Rio Tercero,-32.17301,-64.11406,AR,53389,,387,America/Argentina/Cordoba
Río Segundo,Rio Segundo,-31.6526,-63.9099,AR,18155,,341,America/Argentina/Cordoba
Río Gallegos,Rio Gallegos,-51.62261,-69.21813,AR,85700,,15,America/Argentina/Rio_Gallegos
Río Cuarto,Rio Cuarto,-33.13067,-64.34992,AR,153757,,441,America/Argentina/Cordoba
Río Ceballos,Rio Ceballos,-31.16486,-64.32241,AR,16632,,705,America/Argentina/Cordoba
Rawson,Rawson,-43.30016,-65.10228,AR,26335,,13,America/Argentina/Catamarca
Rafaela,Rafaela,-31.25033,-61.4867,AR,88713,,103,America/Argentina/Cordoba
